time,instance,orders,time,averager_per_truck
2024-04-11.15:45:11,./INPUT/05.txt,174,665862,8.70
2024-04-11.15:45:17,./INPUT/05.txt,170,675834,8.50
2024-04-11.15:45:19,./INPUT/05.txt,169,670889,8.45
2024-04-11.15:45:27,./INPUT/05.txt,173,667960,8.65
2024-04-11.15:45:30,./INPUT/05.txt,173,678998,8.65
2024-04-11.15:45:35,./INPUT/05.txt,173,671991,8.65
2024-04-11.15:45:41,./INPUT/05.txt,169,666833,8.45
2024-04-11.15:45:48,./INPUT/05.txt,169,676839,8.45
2024-04-12.07:52:38,./INPUT/05.txt,174,667907,8.70
2024-04-12.07:52:43,./INPUT/05.txt,168,653577,8.40
2024-04-12.07:52:48,./INPUT/05.txt,171,678782,8.55
2024-04-12.07:52:53,./INPUT/05.txt,170,682931,8.50
2024-04-12.07:52:58,./INPUT/05.txt,175,665977,8.75
2024-04-12.07:53:03,./INPUT/05.txt,171,671968,8.55
2024-04-12.07:53:08,./INPUT/05.txt,171,676869,8.55
2024-04-12.07:53:13,./INPUT/05.txt,175,677875,8.75
2024-04-12.07:53:18,./INPUT/05.txt,170,670657,8.50
2024-04-12.07:53:23,./INPUT/05.txt,170,672403,8.50
2024-04-12.07:57:39,./INPUT/05.txt,178,690406,8.90
2024-04-12.07:57:46,./INPUT/05.txt,170,659973,8.50
2024-04-12.07:57:52,./INPUT/05.txt,173,676812,8.65
2024-04-12.07:57:55,./INPUT/05.txt,173,669819,8.65
2024-04-12.07:58:03,./INPUT/05.txt,169,668847,8.45
2024-04-12.07:58:04,./INPUT/05.txt,172,665776,8.60
2024-04-12.07:58:09,./INPUT/05.txt,177,681996,8.85
2024-04-12.07:58:15,./INPUT/05.txt,171,660977,8.55
2024-04-12.07:58:19,./INPUT/05.txt,172,685200,8.60
2024-04-12.07:58:27,./INPUT/05.txt,174,685702,8.70
2024-04-12.08:02:41,./INPUT/05.txt,170,670947,8.50
2024-04-12.08:02:46,./INPUT/05.txt,170,670735,8.50
2024-04-12.08:02:55,./INPUT/05.txt,169,680989,8.45
2024-04-12.08:02:56,./INPUT/05.txt,168,669728,8.40
2024-04-12.08:03:06,./INPUT/05.txt,172,671848,8.60
2024-04-12.08:03:07,./INPUT/05.txt,172,669995,8.60
2024-04-12.08:03:12,./INPUT/05.txt,173,681833,8.65
2024-04-12.08:03:19,./INPUT/05.txt,171,686992,8.55
2024-04-12.08:03:19,./INPUT/05.txt,173,677944,8.65
2024-04-12.08:03:30,./INPUT/05.txt,171,660456,8.55
2024-04-12.08:14:33,./INPUT/05.txt,170,685818,8.50
2024-04-12.08:14:38,./INPUT/05.txt,166,684617,8.30
2024-04-12.08:14:43,./INPUT/05.txt,157,689474,7.85
2024-04-12.08:14:48,./INPUT/05.txt,165,696268,8.25
2024-04-12.08:14:53,./INPUT/05.txt,167,696274,8.35
2024-04-12.08:14:58,./INPUT/05.txt,166,692146,8.30
2024-04-12.08:15:03,./INPUT/05.txt,167,683378,8.35
2024-04-12.08:15:13,./INPUT/05.txt,162,692742,8.10
2024-04-12.08:15:18,./INPUT/05.txt,161,690465,8.05
2024-04-12.08:15:08,./INPUT/05.txt,162,691318,8.10
2024-04-12.08:19:47,./INPUT/05.txt,168,700250,8.40
2024-04-12.08:19:45,./INPUT/05.txt,166,677777,8.30
2024-04-12.08:19:45,./INPUT/05.txt,161,687256,8.05
2024-04-12.08:19:51,./INPUT/05.txt,169,696178,8.45
2024-04-12.08:19:55,./INPUT/05.txt,172,687337,8.60
2024-04-12.08:20:00,./INPUT/05.txt,158,687436,7.90
2024-04-12.08:20:21,./INPUT/05.txt,158,690002,7.90
2024-04-12.08:20:12,./INPUT/05.txt,169,692430,8.45
2024-04-12.08:20:13,./INPUT/05.txt,165,697188,8.25
2024-04-12.08:20:19,./INPUT/05.txt,160,695973,8.00
2024-04-12.08:24:47,./INPUT/05.txt,162,680859,8.10
2024-04-12.08:24:51,./INPUT/05.txt,162,688019,8.10
2024-04-12.08:24:57,./INPUT/05.txt,166,691495,8.30
2024-04-12.08:25:01,./INPUT/05.txt,158,694468,7.90
2024-04-12.08:24:49,./INPUT/05.txt,160,688112,8.00
2024-04-12.08:25:05,./INPUT/05.txt,165,679758,8.25
2024-04-12.08:25:23,./INPUT/05.txt,166,694862,8.30
2024-04-12.08:25:28,./INPUT/05.txt,160,689313,8.00
2024-04-12.08:25:28,./INPUT/05.txt,169,693559,8.45
2024-04-12.08:25:28,./INPUT/05.txt,160,700658,8.00
2024-04-12.08:37:31,./INPUT/05.txt,161,694782,8.05
2024-04-12.08:37:26,./INPUT/05.txt,155,690850,7.75
2024-04-12.08:37:36,./INPUT/05.txt,159,675495,7.95
2024-04-12.08:37:41,./INPUT/05.txt,162,682294,8.10
2024-04-12.08:37:46,./INPUT/05.txt,164,686273,8.20
2024-04-12.08:37:51,./INPUT/05.txt,160,688711,8.00
2024-04-12.08:45:25,./INPUT/03.txt,98,511733,6.53
2024-04-12.08:45:30,./INPUT/03.txt,100,493838,6.67
2024-04-12.08:45:35,./INPUT/03.txt,99,513619,6.60
2024-04-12.08:45:40,./INPUT/03.txt,98,509264,6.53
2024-04-12.08:45:45,./INPUT/03.txt,96,502844,6.40
2024-04-12.08:45:50,./INPUT/03.txt,100,502224,6.67
2024-04-12.08:45:55,./INPUT/03.txt,100,520695,6.67
2024-04-12.08:46:00,./INPUT/03.txt,100,497860,6.67
2024-04-12.08:46:05,./INPUT/03.txt,100,503160,6.67
2024-04-12.08:46:10,./INPUT/03.txt,100,507680,6.67
2024-04-12.08:46:15,./INPUT/03.txt,100,506260,6.67
2024-04-12.08:46:20,./INPUT/03.txt,100,497758,6.67
2024-04-12.08:46:25,./INPUT/03.txt,97,502216,6.47
2024-04-12.08:46:30,./INPUT/03.txt,100,504224,6.67
2024-04-12.08:46:35,./INPUT/03.txt,100,495195,6.67
2024-04-12.08:46:40,./INPUT/03.txt,100,499648,6.67
2024-04-12.08:46:45,./INPUT/03.txt,100,501519,6.67
2024-04-12.08:46:55,./INPUT/03.txt,97,506035,6.47
2024-04-12.08:46:50,./INPUT/03.txt,99,497368,6.60
2024-04-12.08:47:00,./INPUT/03.txt,99,499379,6.60
2024-04-12.08:47:05,./INPUT/03.txt,100,499753,6.67
2024-04-12.08:47:10,./INPUT/03.txt,100,501913,6.67
2024-04-12.08:47:20,./INPUT/03.txt,100,509803,6.67
2024-04-12.08:47:15,./INPUT/03.txt,100,514703,6.67
2024-04-12.08:47:25,./INPUT/03.txt,98,510979,6.53
